epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,60.4257,0.55162,0.64882,0.93818,0.86718,0.71642,0.76651,0.60402,0.79906,0.99485,1.0091,0.0003566,0.0003566,0.0003566
85,61.0679,0.60479,0.69772,0.98038,0.87354,0.73134,0.76099,0.60772,0.78558,1.00991,1.00633,0.0003368,0.0003368,0.0003368
86,61.734,0.55226,0.64645,0.92426,0.81936,0.74471,0.75307,0.61805,0.76121,0.99668,0.99533,0.000317,0.000317,0.000317
87,62.3777,0.51577,0.61096,0.92232,0.81936,0.74471,0.75307,0.61805,0.76121,0.99668,0.99533,0.0002972,0.0002972,0.0002972
88,63.0635,0.55072,0.62592,0.92859,0.88394,0.68657,0.74336,0.60542,0.75804,0.97464,0.99314,0.0002774,0.0002774,0.0002774
89,63.7106,0.53115,0.63891,0.91942,0.88585,0.69505,0.74818,0.60788,0.75327,0.95994,0.99049,0.0002576,0.0002576,0.0002576
90,64.3206,0.59521,0.62527,0.94006,0.82185,0.75746,0.75978,0.62737,0.74171,0.94641,0.98848,0.0002378,0.0002378,0.0002378
91,66.0818,0.5137,0.79838,0.85773,0.82185,0.75746,0.75978,0.62737,0.74171,0.94641,0.98848,0.000218,0.000218,0.000218
92,66.8441,0.47379,0.77535,0.85115,0.81684,0.76119,0.76067,0.61603,0.76251,0.94831,1.00148,0.0001982,0.0001982,0.0001982
93,67.6894,0.45634,0.70824,0.86567,0.8169,0.76119,0.75739,0.61068,0.77114,0.97715,1.01832,0.0001784,0.0001784,0.0001784
94,68.5187,0.49816,0.73835,0.89645,0.81656,0.76119,0.76042,0.61588,0.77063,0.9638,1.01913,0.0001586,0.0001586,0.0001586
95,69.1531,0.49579,0.72198,0.89872,0.81656,0.76119,0.76042,0.61588,0.77063,0.9638,1.01913,0.0001388,0.0001388,0.0001388
96,69.8424,0.48624,0.67299,0.88413,0.81681,0.76119,0.75711,0.61429,0.76863,0.96863,1.00987,0.000119,0.000119,0.000119
97,70.5336,0.50681,0.71894,0.94034,0.81492,0.76119,0.75401,0.60901,0.76726,0.98314,1.01386,9.92e-05,9.92e-05,9.92e-05
98,71.1531,0.40445,0.67552,0.87562,0.88648,0.69935,0.75024,0.60899,0.76864,0.99818,1.01759,7.94e-05,7.94e-05,7.94e-05
99,71.7554,0.40913,0.66619,0.86672,0.88648,0.69935,0.75024,0.60899,0.76864,0.99818,1.01759,5.96e-05,5.96e-05,5.96e-05
100,72.3772,0.46618,0.73269,0.86819,0.80281,0.76119,0.7515,0.61048,0.76515,0.9927,1.01547,3.98e-05,3.98e-05,3.98e-05
